question,answer_llm,answer_orig,document
"Is the real name on the certificate visible online, or only on the certificate itself?",Only on the certificate itself. It is not published online or shared publicly.,"No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
Why don't we use LangChain in this course and start with it right away?,"We don’t start with LangChain because the course first teaches the core building blocks ourselves: prompting, retrieval, indexing, and evaluation.

The idea is to understand what the framework is automating before using it — like learning HTML, CSS, and JavaScript before React or Angular.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
What's the reason for building the RAG pieces manually instead of relying on LangChain?,"The course builds the RAG pieces manually so you first learn the core components yourself: prompting, retrieval, indexing, and evaluation.

The idea is that frameworks like LangChain are easier to use well after you understand what they automate—similar to learning HTML, CSS, and JavaScript before moving on to React or Angular.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Is LangChain being avoided because the course wants us to understand the basics first?,"Yes — that’s essentially the reason.

The course is **not using LangChain at first because it wants you to build the core RAG pieces yourself**: prompting, retrieval, indexing, and evaluation. The idea is to understand what the framework is doing under the hood before relying on it.

A good analogy from the course: it’s like learning **HTML, CSS, and JavaScript** before moving to **React or Angular**.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
"Should I learn prompting, retrieval, indexing, and evaluation before using a framework like LangChain?","Yes — that’s exactly the idea.

The course suggests learning the core pieces first: **prompting, retrieval, indexing, and evaluation** before relying on a framework like **LangChain**. Frameworks are easier to use well once you understand what they automate as well as HTML/CSS/JavaScript before React or Angular.

","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Why is it better to understand the core LLM app parts before moving to tools like LangChain?,"Because the course wants you to understand the **core building blocks** first — like prompting, retrieval, indexing, and evaluation — before using a framework that automates them.

That way, tools like LangChain are easier to use well because you already know what they’re doing under the hood. It’s like learning **HTML/CSS/JavaScript before React or Angular**.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run `responses.create`?,"You’re getting that error because your OpenAI account doesn’t have enough API credits/quota. The course notes say there is **no free usage** for the OpenAI API, so you need to **add billing credits** to your account.

Steps to fix:
1. Add credits to your OpenAI account (minimum $5).
2. Make sure `responses.create(model='gpt-4o', ...)` uses a model available to your account.
3. If needed, recreate your API key after adding credits and update it locally.

If you are using OpenRouter instead of OpenAI, a similar issue can happen, but the fix is different.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
"What does the ""OpenAI API Error: Insufficient credits"" message mean in `responses.create`?","It means your OpenAI API account does not have enough quota/credits to run `responses.create`.

In other words, the request is being rejected because your plan/billing balance is insufficient. To fix it, add credits to your OpenAI account, then retry.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
How can I fix the error I see when using OpenAI `responses.create` in the RAG module?,"If you’re seeing an error with `openai.responses.create` in the RAG module, it’s usually because your OpenAI account doesn’t have enough credits/quota.

Fix it by:

1. Adding credits to your OpenAI account  
   - Go to the billing overview and add at least $5.

2. Making sure you use a model available to your account  
   - For example, in `responses.create(model='gpt-4o', ...)`, choose a model you can actually access.

3. Recreating your API key if needed  
   - After adding credits, you may need to create a new API key and update it locally.

If the error is a 429 `insufficient_quota`, that means it’s a billing/quota issue, not a code bug.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
Is the `responses.create` failure caused by a billing or credit issue in my OpenAI account?,"Yes — if the `responses.create` failure says **`insufficient credits`** or **`insufficient_quota`**, it’s a **billing/credit issue** in your OpenAI account, not just a temporary rate limit.

To fix it:
1. Add credits / enable pay-as-you-go in your OpenAI billing settings.
2. Re-run the command.
3. If needed, recreate your API key after adding credits.

If the error is a normal **429 rate limit** without `insufficient_quota`, that’s a separate issue.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
"I’m getting an insufficient credits error with OpenAI responses, what should I check first?","First, check your OpenAI account credits/billing. This error usually means your API quota is exhausted or you don’t have billing enabled.

What to do:
1. Add credits to your account (minimum $5).
2. Make sure you’re using a model available to your account.
3. If needed, recreate your API key after adding credits and update it locally.

If you want, I can also help you distinguish this from the similar 429 quota error.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,"You’re likely seeing a 429 because it’s **not just a code issue** — it usually means your **OpenAI account has no quota/credits left** or you’re hitting your plan limits.

From the course context:

- `RateLimitError: Error code: 429` with `insufficient_quota` means **billing/quota**, not a bug in your code.
- OpenAI API has **no free usage**; you need to **add credits / set up pay-as-you-go**.
- You may also need to **recreate your API key** after adding credits.
- If you’re using OpenRouter instead of OpenAI directly, a 402/429-like issue can also happen if `max_output_tokens` is too high — set it to something reasonable like `1024`.

If the error message says:

- **`insufficient_quota`** → add funds/check billing.
- **plain rate limiting** → reduce request rate, concurrency, or add retries with backoff.

If you want, I can help you tell whether your specific error is a **billing/quota issue** or a **true rate-limit issue** from the exact error text.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
"Does this mean I hit some API limit, or is it actually a billing/quota issue?","It sounds more like a **quota/rate-limit issue** than a billing problem.

In the context provided, the similar error is described as:

- **`429 Resource Exhausted`** → usually means you’ve hit the **free-tier quota** or rate limit
- The fix is to **wait a minute and retry**
- It also notes the key may be **missing or mistyped**

So if you’re seeing a limit-style error, it usually means **API usage quota/rate limit**, not necessarily that your billing is broken.

I don’t know if your specific case is billing-related from the context alone.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
What do I need to do in my OpenAI account to make the request work again?,"You may need to **add credits to your OpenAI account** and possibly **recreate your API key** after that.

Steps:
1. Add funds in OpenAI billing settings — minimum **$5**.
2. Make sure you’re using a model available to your account.
3. If it still fails, **create a new API key** and update it locally.

","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
"After adding credits, do I also need to change the model name in `responses.create`?",I don't know.,"```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
Should I generate a new API key after topping up my account?,"Yes, you might need to recreate an API key after adding credits to your account and update it locally.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
How much should I expect to spend on the OpenAI API for this course?,"You should expect to spend **very little** on the OpenAI API for this course — typically **fractions of a cent at first**, and you can top up starting from **$5** if needed.

Also, you **don’t have to pay for OpenAI API** to complete the homework; free or low-cost alternatives are available.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"Do I need to add a lot of money to use the OpenAI API, or is it pretty cheap?","Using the OpenAI API for the course should cost very little. You can start by adding as little as $5, and initial usage is usually fractions of a cent.

If you hit a quota error, then you do need to add funds to your OpenAI account.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"What's the minimum I can recharge for the OpenAI API, and is that enough for the course exercises?","The minimum recharge is **$5**. Yes, that should be **more than enough for the course exercises** — the course says usage is usually just **fractions of one cent**.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
Will using the OpenAI API in Module 1 cost me more than a few cents?,Using the OpenAI API for Module 1 should cost very little — usually fractions of a cent at first. You can also recharge starting from $5.,"Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"If I only use the API for the course, how expensive is it going to be?","No, you don’t have to pay for OpenAI specifically to complete the course homeworks. You can use free or low-cost alternatives, or even run a model locally, so the cost can be zero if you choose those options.

If you do use a paid API, the exact cost depends on the provider and how much you call it, but the course itself does not require a paid OpenAI API subscription.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
Do I need a paid OpenAI API account to finish the homework in this course?,"No, you don’t need a paid OpenAI API account to finish the homework. The course says you can use free or low-cost alternatives instead of OpenAI.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Is it required to subscribe to OpenAI for the RAG module assignments?,No. You do **not** have to subscribe and pay for OpenAI to complete the RAG module assignments. You can use free or low-cost alternatives instead.,"No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Can I complete the course without paying for the OpenAI API?,"Yes. You don’t have to pay for the OpenAI API to complete the course homework. You can use free or low-cost alternatives from the course repo, or another LLM provider altogether.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
"What if I don't want to use OpenAI API for the homework, are there alternatives?","Yes. You don’t have to use the OpenAI API for the homework.

You can use free or low-cost alternatives, and the course is not tied to OpenAI. Options mentioned in the course include:

- Hosted OpenAI-compatible providers like Groq, OpenRouter, DeepSeek, Gemini, Z.ai, and Mistral
- Open models via Hugging Face, such as Qwen or Llama
- Local model serving with Ollama, vLLM, LM Studio, or similar
- A rented GPU machine running your own model endpoint
- A VPN if the provider is blocked in your region

If the provider has an OpenAI-compatible endpoint, you usually just need to change the `base_url`, API key, and model name.

You can also check the course repo’s list of alternatives here:
https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives

","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Where can I find free or cheaper options instead of OpenAI API for this course?,"You can find free or cheaper alternatives in the course GitHub repo, under the **OpenAI API alternatives** list:

- https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives

Also, the course is **not tied to OpenAI** — you can use other providers or even local models instead.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Why does the course prefer uv over pip and virtualenv for Python setup?,"The course prefers **uv** because it’s **fast and convenient**. It combines several tools into one, so instead of using separate tools like **pip**, **virtualenv**, **pip-tools**, **pipx**, **poetry**, **pyenv**, and **twine**, you can manage:

- Python versions
- virtual environments
- dependencies
- reproducible lockfiles

all with one tool.

That said, **you don’t have to use uv** — **pip and virtualenv still work fine**. The main reason the lessons use uv is that it makes setup **simpler and faster**.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"What makes uv worth using instead of separate tools like pip, virtualenv, and poetry?","uv is worth using because it’s an all-in-one, fast, convenient tool. It replaces separate tools like pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine, so you don’t have to juggle multiple commands for Python versions, virtual environments, dependencies, and lockfiles.

The course uses it because it makes setup simpler and faster, but you’re not required to use it — pip and virtualenv still work fine.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Do I have to use uv in this course, or can I just stick with pip and virtualenv?","No — you’re not required to use `uv`. `pip` and `virtualenv` still work fine.

The course uses `uv` because it’s faster and more convenient, and it combines several tools into one, but you can stick with the traditional Python setup if you prefer.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"How does uv simplify managing Python versions, environments, and dependencies?","uv simplifies things by combining several tools into one fast command. It lets you:

- manage Python versions
- create and manage virtual environments
- install and manage dependencies
- use reproducible lockfiles

So instead of using separate tools like `pip`, `virtualenv`, `pip-tools`, `pipx`, `poetry`, `pyenv`, and `twine`, you can handle the setup in one place.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
Is there a reason the lessons use uv even though the usual Python tools still work?,"Yes. The lessons use `uv` because it’s faster and more convenient as an all-in-one tool for managing Python versions, virtual environments, and dependencies.

You don’t have to use it, though — `pip` and `virtualenv` still work fine. `uv` is mainly used because it makes the setup simpler and quicker.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
Why does my notebook say OPENAI_API_KEY is missing even though I put it in a .env file?,"Your notebook is probably not loading the `.env` file.

In Jupyter, just having `OPENAI_API_KEY` inside `.env` is not enough. You need to:

1. Install `python-dotenv` if needed:
```bash
pip install python-dotenv
```

2. Load the `.env` file before creating the OpenAI client:
```python
from dotenv import load_dotenv

load_dotenv()
```

3. Make sure the variable name is exactly:
```bash
OPENAI_API_KEY=sk-...
```

If it still fails, check that your `.env` file is in the notebook’s working directory.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Do I need python-dotenv for the Jupyter notebook to read my OpenAI key?,"Yes — if your Jupyter notebook is not finding `OPENAI_API_KEY`, you should install and use `python-dotenv` and load your `.env` file before creating the client.

```bash
pip install python-dotenv
```

Then in the notebook:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also make sure the variable in your `.env` file is exactly named `OPENAI_API_KEY`.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client?,"Call `load_dotenv()` **in the notebook before you create the OpenAI client**.

Example:

```python
from dotenv import load_dotenv
load_dotenv()

from openai import OpenAI
client = OpenAI()
```

If you're using Gemini through the OpenAI-compatible endpoint, do it before `OpenAI(...)` as well.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
How can I make sure the API key name in my .env file is correct for the notebook?,"Make sure the variable name in your `.env` file is exactly `OPENAI_API_KEY` — the notebook expects that name.

Also, load the file in the notebook before creating the client:

```python
from dotenv import load_dotenv
load_dotenv()
```

If needed, install `python-dotenv` first:

```bash
pip install python-dotenv
```

","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
My OpenAI key works in terminal but not in Jupyter — what should I check first?,"First, check that your notebook is loading environment variables properly:

- install `python-dotenv`
- run `load_dotenv()` in the notebook before creating the client
- make sure the variable name in your `.env` file is exactly `OPENAI_API_KEY`

Example:

```bash
pip install python-dotenv
```

```python
from dotenv import load_dotenv
load_dotenv()
```

If it still fails, I don't know.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
How do I keep my API keys in a .env file and read them in Python?,"Store your keys in a `.env` file, ignore it in Git, and load it in Python with `python-dotenv`.

### 1) Create a `.env` file
```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

### 2) Add `.env` to `.gitignore`
```gitignore
.env
```

### 3) Install `python-dotenv`
```bash
pip install python-dotenv
```

### 4) Read the keys in Python
```python
import os
from dotenv import load_dotenv

load_dotenv()  # loads .env from the project root

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```

Make sure the variable name in `.env` matches exactly, e.g. `OPENAI_API_KEY`.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
What’s the easiest way to load OPENAI_API_KEY or GROQ_API_KEY without hardcoding them?,"The easiest way is to put them in a `.env` file and load it with `python-dotenv`.

Example:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
```

Then in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```

Also add `.env` to `.gitignore` so you don’t commit your keys.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
Do I need to install anything to use environment variables from a .env file?,"Yes — if you want to load variables from a `.env` file in Python, you typically need to install `python-dotenv`:

```bash
pip install python-dotenv
```

Then you can load the file with:

```python
from dotenv import load_dotenv
load_dotenv()
```

If you only want to read environment variables that are already set in your system, you don’t need it.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
How can I make sure my .env file doesn’t get pushed to GitHub?,"Add `.env` to your `.gitignore` so it never gets committed:

```gitignore
.env
```

Also make sure you use a `.env.example` file with only the variable names, not the actual secrets, and keep your real `.env` out of the repo.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
What’s the recommended way in the course to store and access secret API keys?,"The course recommends storing API keys in a `.env` file and loading them in Python with `python-dotenv`.

Typical setup:
- Add `.env` to `.gitignore`
- Put your keys in `.env`
- Load them with:
  ```python
  from dotenv import load_dotenv
  import os

  load_dotenv()
  api_key = os.getenv(""OPENAI_API_KEY"")
  ```

For reproducibility, also provide a `.env.example` with variable names only, and never commit real keys.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
"Can I swap out the suggested homework model for something else, or do I have to stick with it?","Yes — the suggested homework model is **not mandatory**. You can use a different model or provider if you want.

The homework is designed so you **do not need a paid service**, but you may need to adjust the code depending on the provider, since things like response format, tool schemas, and tokenization can differ.

If you want, I can also help you choose a compatible alternative.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"Is it okay to use Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model instead of the default provider?","Yes — it’s okay.

The course explicitly says you can use Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider instead of the default one. The homework is not tied to OpenAI, and if you switch providers you may only need to adapt things like the base URL, API key, model name, response format, or tool schema.

If you want, I can also tell you which providers are easiest to plug into the course code.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
