question,document
"Why does the course use Gemini by default, and where can I check which free or free-tier models are supported?",f442efe5b4
Is there a way to build Kestra flows without writing YAML by hand?,bfe5502c30
Does Kestra have a form-based editor instead of a drag-and-drop builder?,bfe5502c30
Can I ask an AI to create a Kestra workflow from a plain-English prompt?,bfe5502c30
Are there tools like Claude Code or Codex that can generate and push Kestra flows for me?,bfe5502c30
"For simple automations, should I use Kestra or is something like Zapier or n8n easier?",bfe5502c30
"Why does ChatGPT sometimes make up Kestra YAML properties that aren’t in the plugin docs, and what should I do instead?",93a3e8b98c
How can I stop a generative AI from using fake Kestra fields like bucket or name when I’m building a flow?,93a3e8b98c
"Why did the YAML suggested by an assistant fail in Kestra even though it looked right, and how do I verify the real schema?",93a3e8b98c
Is there a way to check whether Kestra plugin properties change between versions before I copy AI-generated YAML?,93a3e8b98c
What’s the safest workflow for generating Kestra flows with AI so I don’t end up with invalid plugin parameters?,93a3e8b98c
Why do we keep track of token usage in Kestra workflows when calling LLMs?,a4adc70f41
How does monitoring tokens help with controlling costs in a scheduled or looping AI flow?,a4adc70f41
What’s the point of looking at token counts for prompts and outputs in Kestra?,a4adc70f41
Can token usage in a long-running workflow help catch a runaway bill early?,a4adc70f41
How do you usually get token usage from an LLM call inside a Kestra task?,a4adc70f41
"Why does Docker Desktop say mounts denied for a path under /tmp when I try to run Kestra, and what should I change so it can start normally?",dd8b4c9fda
"In Docker Desktop, where do I add a host folder like /tmp or /tmp/kestra-wd so the container can mount it without that shared-path error?",dd8b4c9fda
What steps do I follow in Docker Desktop settings to allow access to the local path that Kestra wants to mount?,dd8b4c9fda
"After I add /tmp to Docker Desktop’s file sharing list, do I need to do anything else before running docker compose up -d again?",dd8b4c9fda
I keep getting 'the path ... is not shared from the host' when starting my compose stack — how can I fix the permission issue on Docker Desktop?,dd8b4c9fda
"For the Module 3 Kestra homework, what exactly should I upload to the public repo if I did everything in the Kestra UI?",f29f622684
"Do I need to submit the YAML flow files from Kestra, or is a README enough for the homework repo?",f29f622684
"If my homework work was mostly inside Kestra, what kind of files should go in the GitHub link for submission?",f29f622684
Where should I place the Kestra homework files in the repo before submitting the Module 3 assignment?,f29f622684
"Are the quiz answers for Module 3 supposed to go in the repo too, or only in the submission form?",f29f622684
Why am I getting a JSONDecodeError: Expecting value when I try to parse the LLM output for ground-truth questions?,a3c7e1b4f9
How can I make the model return only valid JSON so json.loads won't fail?,a3c7e1b4f9
What prompt wording should I use to force the LLM to output a JSON object with a questions list?,a3c7e1b4f9
Does OpenAI have a setting to guarantee JSON output instead of markdown or extra text?,a3c7e1b4f9
Is there a similar JSON-only response option for other LLM APIs like Gemini or Groq?,a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth set in the evaluation notebook?,b8f2d6a30c
What can I do if embedding the ground-truth data runs out of memory in Codespaces or on a small laptop?,b8f2d6a30c
Is there a smaller sentence-transformers model I can swap in so the notebook doesn’t die from RAM issues?,b8f2d6a30c
Would it help if I move the embedding part into a separate Python script instead of running it inside Jupyter?,b8f2d6a30c
How can I handle the ground-truth embeddings in batches and free memory so the kernel doesn’t crash?,b8f2d6a30c
Why does adding a 4-second sleep still make my ground-truth generation fail on Gemini?,c1e9f4b820
What can I use instead of Gemini if I keep hitting limits while creating the dataset?,c1e9f4b820
Is there a cheap paid model that works better for generating the full ground-truth set?,c1e9f4b820
How can I reduce API pressure when I’m using a thread pool for these requests?,c1e9f4b820
What’s the best way to avoid losing progress if the run stops because of rate limits?,c1e9f4b820
How do I fix the WinError 126 fbgemm.dll missing error on Windows when importing torch?,15e931476c
Is installing the Visual C++ Redistributable enough to solve the fbgemm.dll module-not-found problem in Python on Windows?,15e931476c
Do I need Visual Studio or just Visual Studio Code for the torch fbgemm.dll dependency issue?,15e931476c
Why am I getting an OSError about fbgemm.dll or one of its dependencies not found on my Windows machine?,15e931476c
What are the recommended steps to resolve the PyTorch fbgemm.dll loading error on Windows 10/11?,15e931476c
"I'm getting `psycopg2.OperationalError: could not translate host name ""postgres"" to address`. What should I change so `prep.py` can connect correctly?",4b65d5542d
"When I run `python prep.py`, it fails with a host name error for `postgres`. Is there a quick fix in the `.env` settings?",4b65d5542d
How do I fix the database connection issue where Python says it can't resolve the `postgres` host?,4b65d5542d
My prep script throws `OperationalError` because `postgres` isn't found. Which env variable needs to be updated?,4b65d5542d
What should `POSTGRES_HOST` be set to if `python prep.py` gives a 'could not translate host name' error?,4b65d5542d
How can I make Pandas show the full text in a column instead of cutting it off with ...?,641aedbbf5
"In the offline RAG eval notebook, what's the easiest way to see the whole Explanation value from the judge LLM?",641aedbbf5
"Why does my Pandas dataframe only display part of a long string in one column, and how do I stop that?",641aedbbf5
What setting do I need to change so a pandas column can display unlimited text length?,641aedbbf5
Is there a Pandas option to view the complete contents of a long text column without truncation?,641aedbbf5
How can I normalize a vector stored in a Pandas DataFrame column?,5039707c1a
What's a simple way to normalize each item in a Pandas Series of vectors?,5039707c1a
Is there a quick Pandas example for turning vectors into unit length in a column?,5039707c1a
How do I use NumPy to normalize values inside a DataFrame column?,5039707c1a
Can I apply a function to each vector in a Series to make them normalized?,5039707c1a
How can I get the 75th percentile for a column in a pandas DataFrame?,b4c8ac5a0c
What’s the pandas way to calculate a 0.75 quantile from a Series?,b4c8ac5a0c
How do I find the percentile value of a DataFrame column in pandas?,b4c8ac5a0c
Is there a simple method in pandas for computing quantiles on a column?,b4c8ac5a0c
What code should I use to get the 75% quantile in pandas?,b4c8ac5a0c
"How do I delete every Docker container from the terminal, even the ones still running?",66ccbb7da0
What command can I use to force-remove all Docker images on my machine?,66ccbb7da0
Is there a quick way to wipe out all Docker volumes using the command line?,66ccbb7da0
"How can I clean up my Docker setup by removing all containers, images, and volumes at once?",66ccbb7da0
"What terminal commands should I run if I want to fully reset Docker by deleting containers, images, and volumes?",66ccbb7da0
"How can I make Streamlit let the user give only one feedback vote per submission, like +1 or -1, without the buttons getting enabled again?",2e729f1271
Why does `st.session.submitted` keep becoming True again after I click one of the feedback buttons in Streamlit?,2e729f1271
"I'm using an ask button and session state in Streamlit, but I want the feedback buttons disabled after submit — what am I missing?",2e729f1271
Is there a fix for Streamlit session attributes getting reassigned somewhere when handling feedback buttons per submission?,2e729f1271
Where can I find the solution for the issue where Streamlit reassigns `st.session.submitted` even after a feedback button is pressed?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when starting my app with docker-compose, even though it works normally?",e8df9f0d12
What should I check in my Docker setup if docker-compose fails to launch a Streamlit app with a runc create error?,e8df9f0d12
Do I need a Dockerfile for a Streamlit app to run correctly in docker-compose?,e8df9f0d12
How can I fix the container start error for a Streamlit app that complains about missing streamlit in PATH?,e8df9f0d12
"After changing my docker-compose setup for Streamlit, what command should I use to rebuild and run everything again?",e8df9f0d12
"Is the capstone supposed to be done alone, or can we work in a team?",0fab61eca2
Can two or more students share one project idea for the capstone?,0fab61eca2
"If we collaborate on a bigger system, does each person still need their own part to submit?",0fab61eca2
"Is it okay to have one shared repository for the capstone, or does everyone need a separate repo?",0fab61eca2
What happens if the project can't be graded separately for each person?,0fab61eca2
"Do I need to submit two capstone projects, or is one project enough for the course?",d5fc98925d
What do the attempt 1 and attempt 2 submission windows actually mean for the capstone project?,d5fc98925d
"If my first capstone submission doesn’t pass, can I fix it and send the same project again later?",d5fc98925d
"Can I submit two different capstone projects just for extra practice or exposure, and if so, what are the rules?",d5fc98925d
"If I miss the first capstone submission deadline, can I still submit in the second window and stay on track for certification?",d5fc98925d
"Is the competition accepted as the capstone project, or are they separate things?",e892d44e42
"Can I do the math Kaggle LLM competition with a team, even though the capstone is individual?",e892d44e42
"If I join the competition, does that count toward my capstone requirement?",e892d44e42
Are we allowed to form groups for the competition while still doing the capstone alone?,e892d44e42
What's the difference between the competition and the capstone project in terms of teamwork?,e892d44e42
How will my capstone project get graded in the end?,9a2e2d2008
Who reviews the project after I submit it?,9a2e2d2008
Do I also need to review other students' capstone projects?,9a2e2d2008
What happens if I skip the peer grading part?,9a2e2d2008
Is the final score based on all the reviews or something else?,9a2e2d2008
How are the capstone projects assigned for review and grading after the deadline?,eae0fb50aa
"Once the submission deadline is over, what’s the process for giving each participant projects to grade?",eae0fb50aa
"Will we get a list of projects to review after submissions close, and how many will each person handle?",eae0fb50aa
"When the deadline passes, how are the grading assignments shared with us in the capstone project?",eae0fb50aa
"Do participants receive a spreadsheet with review assignments after the submission deadline, and does each person get three projects?",eae0fb50aa
"I already turned in my capstone project, so why don't I see anything to review yet?",a8a7fef016
When do the projects I need to evaluate get assigned after the submission deadline?,a8a7fef016
"Can I pick which capstone projects I want to review, or is that decided for me?",a8a7fef016
Why is the review page empty even though I already submitted my project?,a8a7fef016
Is it normal that I can't start reviewing projects before the list is released?,a8a7fef016
Where can I look for project ideas and datasets for the capstone project?,e76a70cde3
Is there a page with suggested datasets I can use for the project?,e76a70cde3
I’m stuck on the capstone—where do I find ideas and guidance?,e76a70cde3
Can you point me to the GitHub page with project ideas and datasets?,e76a70cde3
"What’s the best place to get tips, guidelines, and dataset suggestions for this project?",e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project ingestion part, or is a simple Python script enough?",d4f7c08ea1
Can I still get full points for the ingestion pipeline if I just write a Python script that loads and indexes the data?,d4f7c08ea1
"If I do the ingestion steps in a Jupyter notebook instead of a script, how is that scored?",d4f7c08ea1
When would it make sense to use an orchestrator in the capstone project instead of plain Python?,d4f7c08ea1
"Should I add an orchestration tool just to satisfy the project requirements, or only if my use case really needs it?",d4f7c08ea1
How can I evaluate a recommender-style RAG project if I don’t have obvious ground truth answers?,9b0e2d6a47
What’s a good way to create synthetic test queries for ranking-style retrieval in a capstone project?,9b0e2d6a47
"Can I use an LLM as a judge to score the quality of RAG results, and how would that work?",9b0e2d6a47
"Which metrics make sense for recommender RAG evaluation: hit rate, MRR, or NDCG?",9b0e2d6a47
Why is NDCG often better than hit rate when multiple retrieved items could be acceptable?,9b0e2d6a47
My PDFs are huge and have lots of paragraphs — what chunking approach should I start with for my RAG project?,6f2a8b3d10
"Should I spend time trying to build the best chunker right away, or is it better to test a simple splitting method first?",6f2a8b3d10
"For long docs like legal or finance files, does it make sense to use hybrid search instead of only embeddings?",6f2a8b3d10
Is it worth using an LLM to split documents into sections and make summaries for each chunk?,6f2a8b3d10
What tools can I use to turn PDFs into cleaner markdown before chunking them?,6f2a8b3d10
"What exactly do you mean by reproducibility for the capstone project, and do reviewers need my API keys to run it?",e5d8a2c761
How should I set up the repo so someone can clone it and rebuild the project from scratch on their own machine?,e5d8a2c761
Do I need to include a script or notebook that loads the data and creates the search index again locally?,e5d8a2c761
What's the recommended way to handle secrets in the project repo — should I commit a .env file or only a sample file?,e5d8a2c761
Which model and dependency setup should I use so reviewers can test my project without spending a lot of credits or hitting version issues?,e5d8a2c761
Can I do the homework and final project in JavaScript or another language instead of Python?,ea815eb858
"If I choose Go, Rust, Java, or something else, is that allowed for the capstone?",ea815eb858
Why does the course push Python so much for assignments and the final project?,ea815eb858
What kind of README or setup instructions do I need if I use a non-Python stack?,ea815eb858
How detailed should the install and run steps be so a reviewer can reproduce my project on different operating systems?,ea815eb858
Where do I see past LLM Zoomcamp capstone project submissions?,930286278d
Is there a page with older LLM Zoomcamp projects I can look at for ideas?,930286278d
Can you point me to previous capstone repos from LLM Zoomcamp?,930286278d
Where are the 2024 and 2025 LLM Zoomcamp project examples listed?,930286278d
How can I check what kind of project scope and quality was expected in earlier LLM Zoomcamp projects?,930286278d
Do I need to reserve my capstone idea before I start working on it?,897a350476
"Should I announce my project topic somewhere first, or can I just begin?",897a350476
Is it required to claim a capstone project idea in advance so nobody else uses it?,897a350476
Can I ask for feedback on my project idea in Slack before I start building it?,897a350476
"If my project is similar to a past one, is that allowed as long as I do my own implementation?",897a350476
Can I submit a capstone project as a Telegram or WhatsApp bot instead of making a web app?,7318a90b14
"Is there any required interface for the project, or can I choose whatever fits my idea best?",7318a90b14
"Would a CLI, Slack app, or even a notebook be acceptable for the project deliverable?",7318a90b14
"Are there strict rules about how the final project should be exposed to users, or is that up to me?",7318a90b14
"If I use a non-web interface for the capstone, will the course teach me how to build it, or do I need to handle that myself?",7318a90b14
"What’s the best tool to pull text out of PDFs for a RAG app, or does the course want us to use a specific one?",d8b28c47a0
"If my documents are scanned PDFs with no selectable text, what should I use to OCR them for the project?",d8b28c47a0
"Between docling, PyMuPDF/pymupdf4llm, and unstructured, which one is usually better for getting clean text from documents?",d8b28c47a0
Can I use a hosted OCR API like Mistral OCR instead of running OCR locally for my capstone?,d8b28c47a0
"After extracting text from PDFs, what’s the recommended way to prep or chunk the documents for RAG?",d8b28c47a0
"Can I reuse the workshop content in my own capstone project, or is it only for the class exercises?",d850a0e7ea
"If dlt is open-source, does that mean I’m allowed to apply the workshop examples in other projects too?",d850a0e7ea
"Would it be okay to use this workshop material for an MLOps Zoomcamp project, or is that not intended?",d850a0e7ea
Are we free to ask questions and build on the workshop code directly when working on our own projects?,d850a0e7ea
"Is this workshop something I can share and use outside this course, since the tool is open-source?",d850a0e7ea
How do I start a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to initialize a dlt filesystem pipeline with duckdb?,6bceeebf04
I want to load files from cloud using dlt—how do I set up the project first?,6bceeebf04
What’s the easiest way to create a fresh dlt setup for filesystem data sources?,6bceeebf04
Can someone show me the init command for a dlt project that uses filesystem and duckdb?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I try to open `db.open_table(""notion_pages___homework"")`?",0407213397
I keep seeing `FileNotFoundError` for `notion_pages___homework` — did I miss a setup step in the dlt workshop?,0407213397
"What causes the notebook to say I should first call `db.create_table(notion_pages___homework, data)`?",0407213397
"I renamed the table to homework, but the pipeline still fails to open it. What am I missing?",0407213397
How do I fix the `notion_pages___homework does not exist` error in the Open-Source Data Ingestion workshop?,0407213397
Why am I getting `FileNotFoundError: Table notion_pages___homework does not exist` when I run `main()`?,e95bfafc0e
What should I put in line 3 if `db.open_table()` can't find `notion_pages___homework`?,e95bfafc0e
"How do I fix the error saying I need to call `db.create_table(notion_pages___homework, data)` first?",e95bfafc0e
Is there a specific table name I need to open for the homework in this dlt workshop?,e95bfafc0e
My script crashes on `notion_pages___homework` — which table should I open instead?,e95bfafc0e
How can I see what tables exist in the database?,e394e6f738
Is there a method to list all tables in my db?,e394e6f738
How do I check the table names available in the database?,e394e6f738
What can I call to get a list of tables in the db?,e394e6f738
How do I find out which tables are currently in the database?,e394e6f738
Does dlt support ClickHouse or StarRocks connectors yet?,cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks?,cd19f122f3
Are there built-in connectors in dlt for ClickHouse and StarRocks?,cd19f122f3
"If dlt doesn’t have ClickHouse or StarRocks connectors, can the community add them?",cd19f122f3
Is there any plan to get ClickHouse or StarRocks support in dlt?,cd19f122f3
Why do I get a 401 Unauthorized when the notebook calls the Notion search API?,0dfba07ace
My notebook says it doesn’t have secret access for api.notion.com/v1/search — what should I check?,0dfba07ace
Could this Notion API error be caused by a bad token or missing permissions?,0dfba07ace
What do I need to verify if my Notion integration suddenly stops working in the notebook?,0dfba07ace
How can I fix the authorization issue with the Notion API in this workshop notebook?,0dfba07ace
"Why does pip keep giving me requests 2.28 when I need 2.32 for lancedb, and how do I force the newer one?",4b30b918bc
I'm getting a 401 Client Error while trying to install or use the package — does that mean my key is wrong or not allowed?,4b30b918bc
What command should I run to install requests straight from the official source instead of the older PyPI version?,4b30b918bc
Is there a way to pin requests to v2.32.3 from GitHub so lancedb works properly?,4b30b918bc
"If the install fails with auth issues, is the fix to check the key access or install requests from this GitHub zip URL?",4b30b918bc
